KO_MANTIS_CONSENSUS	QUANT
K10040	112
K10041	72
K15738	2
K02895	7020
K02411	544
K05921	3
K03742	15
K02410	137
K00230	18
K02892	13950
K00231	2
K22024	15
K02890	33517
K23351	1011
K02417	46
K00239	5151
K02416	2776
K02899	17728
K24204	2
K02897	5533
K03744	286
K01565	5
K02413	32
K03743	15
K02412	39
K08195	9
K11381	576
K02409	20
K05919	934
K17928	20
K08191	15
K13566	2
K14414	37
K02884	42643
K01552	118
K02400	50
K05910	8
K02881	13389
K03738	639
K02406	5803
K03737	294151
K03736	40
K02888	12304
K02404	144
K03735	185
K02887	12185
K00226	51
K03734	1
K02886	58297
K03733	6
K24217	48
K13530	2
K12685	4
K11358	1681
K10026	2
K02433	522
K01585	18
K00254	2
K01586	1267
K03763	4132
K02431	5698
K01583	108
K00253	140
K05946	251
K15719	186
K01580	215
K02438	2
K03769	423
K02437	217
K03768	12257
K01589	4
K00259	869
K03767	860
K02435	26
K01588	2187
K02434	1443
K05942	422
K15721	2
K13542	2
K10039	54
K10036	140
K10037	50
K00243	1054
K00244	3494
K05934	4
K05936	219
K01571	46222
K00240	280
K22010	29
K05939	105
K02429	2
K02428	1097
K00249	839
K00248	42845
K01579	66
K02424	37
K00245	27
K01577	9
K00246	7
K13993	14651
K09013	1983
K09014	364
K03709	265
K13990	26
K08164	1609
K10005	16
K01520	28
K03706	9245
K09007	2
K03705	36
K03704	400
K03703	404
K21134	6
K01523	29
K03702	978
K02855	4
K03701	4980
K00677	19
K01524	9
K21138	525
K10012	2
K09002	11
K09487	368
K08153	27
K00661	8
K01993	2
K21140	15
K01991	624
K01990	7983
K21147	511
K01999	2776
K01515	25
K01998	1154
K01997	10
K01996	811
K00666	28
K01995	159
K03720	1496
K02871	20438
K19285	54
K00690	16
K19286	1630
K22441	12
K00219	1081
K23779	7
K02879	22766
K02878	28795
K02876	29646
K03723	283
K00215	600
K23775	2
K03722	693
K02874	57850
K08174	726
K08177	95
K09022	3154
K03719	266
K03718	336
K10470	14
K13985	222
K01531	9
K02860	5091
K19294	126
K00682	8
K22452	17
K09017	67
K00208	211
K20276	1
K00689	6110
K09015	34
K02867	57141
K01537	447
K03713	20
K01534	220
K00688	26029
K23786	2
K02864	9040
K03711	182
K02863	94271
K01533	5
K03710	4
K17998	7
K17997	46
K17996	76
K17995	452
K17999	4543
K02015	808
K02499	156
K02014	308
K07706	1260
K02013	1178
K02497	2
K02012	209
K07705	988
K02495	1659
K01163	171
K02011	3
K03342	247
K07707	9
K03340	12700
K02493	6801
K07709	139
K24286	64
K02019	14
K02017	12
K02016	404
K05524	36
K15342	2
K19701	74
K18855	697
K03335	190
K02004	44
K01156	40
K02488	24
K02003	3179
K05515	319
K05516	359
K01154	1360
K03332	2142
K02484	14
K01153	314
K02483	16
K01151	142
K03339	3166
K03338	184
K05995	338
K03337	56
K02005	1613
K03336	197
K06880	10
K02040	493
K01192	879
K01193	702
K01190	10463
K01191	847
K18820	49
K02037	1
K06878	4650
K03367	298
K02036	469
K02035	9107
K09903	2535
K03366	2
K02034	2
K07727	2435
K02033	41
K01185	57
K07729	5522
K02032	2220
K01186	275
K02031	1035
K01183	10
K02030	2
K06871	2
K05540	6
K07720	10730
K02039	27735
K05546	2
K01181	32
K01182	1754
K18830	4
K18831	135
K02026	145
K02025	1390
K07714	2
K01176	4509
K07717	2
K03353	198
K07718	254
K02020	7
K06864	17
K02029	318
K02028	331
K02027	8021
K12264	378
K14445	88
K12267	5
K13598	4
K15771	152
K15772	76
K14441	88
K15770	17715
K15779	9522
K15778	104
K03786	6
K03785	2785
K03784	13533
K03300	43
K02453	2
K03783	67
K22068	389
K03781	98
K03780	2242
K03308	81
K01129	18
K03307	89
K03305	4
K03789	2
K00278	46
K01126	1892
K03303	7
K18814	16
K10094	2
K15780	2076
K15781	172
K16639	515
K22082	2
K15789	182
K00265	15238
K03775	7
K01596	518
K00266	62739
K03773	163
K00264	5616
K01595	83
K03771	64
K02440	85
K00261	42
K00262	193344
K03770	242
K01593	576
K01591	10333
K00260	3677
K01118	4
K01119	388
K03779	11739
K24258	34
K02448	1
K03778	551
K03776	346
K01599	186
K11392	3026
K13572	6
K12240	1514
K03324	334
K02477	58
K22042	2
K05989	229
K00297	5317
K02474	48
K03321	186
K03320	203
K00294	14
K02472	104
K01142	4
K22044	8
K02470	8927
K22043	2
K23373	2
K03328	422
K04652	540
K03327	64
K04654	54
K04655	4
K02478	5
K05986	25
K13581	2
K12251	110
K12257	955
K01134	4
K00287	15
K03797	217
K03312	2
K00288	4
K03310	84
K00286	679
K00281	912
K03790	3
K05970	1
K01138	80
K02469	4986
K01139	4360
K03798	15267
K16147	15
K07672	694
K10843	2
K10844	145
K18330	179
K18331	6514
K16153	4178
K06334	3398
K06333	9
K16150	22
K07668	1801
K06330	2
K18332	2731
K03298	1
K03296	153
K07652	4
K06320	817
K07651	14
K07658	546
K08986	257
K07657	2
K20627	2
K20626	9
K07692	28
K07693	39
K01903	1158
K10820	899
K18785	6562
K10823	3777
K18303	13
K18306	2
K07684	10
K01900	386
K07689	2457
K09861	186
K17472	32
K21961	27
K05499	4
K07678	652
K06346	1504
K07679	125
K13075	497
K15255	2
K20608	126
K01091	1181
K03270	2
K19611	793
K19613	4
K03269	2
K09807	4
K01089	230
K10804	76
K09808	6393
K09809	9
K04112	1675
K04113	4
K08955	8
K08956	2370
K09800	1
K10810	28
K01077	233
K17450	188
K04104	567
K06766	167
K13059	85
K13052	2
K03294	5
K03292	33
K03286	4108
K03285	1875
K07641	607
K07642	212
K09825	2527
K07646	2
K13069	3
K03282	8
K06306	18
K09815	4
K08969	154
K09816	165
K08963	26
K09810	5
K07636	29
K09811	14
K09812	296
K10440	54
K07271	1292
K10441	8383
K07273	3540
K05096	14
K00639	14133
K07275	11
K13953	1487
K13954	897
K01960	103
K21573	109660
K21572	11392
K21571	951
K19265	824
K19266	2
K21577	1462
K22424	2
K21576	144
K01966	3213
K00634	40
K21575	1237
K21574	4791
K00632	4659
K23753	40
K01963	333
K02810	5
K01962	25
K21579	3
K01961	66
K08591	2
K07260	60
K07263	2613
K00627	34
K02806	11
K01958	1202
K07264	2
K11787	4
K13963	85
K21584	220
K22431	36371
K21583	642
K02804	2113
K00625	1055
K00626	41791
K01956	4871
K20257	99
K01955	48080
K07258	1990
K22432	6234
K01954	80
K02800	3
K01953	328
K01952	48735
K01951	20778
K00620	2242
K01950	74
K22409	3
K09475	16
K01507	242
K02838	6113
K11755	432
K11752	157
K11751	2477
K10421	183
K11754	430
K11753	231
K00651	148
K00658	12
K07289	3
K02837	4145
K01506	179
K01989	3872
K02836	1458
K00656	85906
K17064	6
K02835	4539
K02834	579
K22405	58064
K00655	6
K01500	4013
K07284	4290
K13940	186
K00640	1215
K10439	4526
K22893	3
K21562	8
K00647	979
K09457	274
K17077	245
K09458	706
K00648	74
K07277	326
K02825	7540
K00645	584
K02824	65
K21563	2902
K07279	231
K02823	130
K17074	2
K17073	77
K02822	4
K01972	530
K06381	36
K01929	120
K01928	1081
K06382	22
K06385	462
K01926	149
K01925	257
K07231	567
K18367	216
K13919	482
K19221	5
K01924	4009
K07223	7
K01923	23493
K20202	370
K01921	448
K06379	2
K09888	45
K16191	987
K20203	7150
K01918	494
K01916	10
K01915	75835
K16199	455
K07221	70
K01914	3525
K07220	2
K19224	7
K13922	14427
K19225	325
K13920	303
K11741	5
K13921	1989
K11749	936
K13926	7
K01912	137
K07213	13
K07216	274
K07699	945
K07250	154
K07251	3552
K17497	2
K00616	370
K18345	524
K18346	6
K18347	182
K18348	28
K18349	52
K18350	724
K11717	3055
K19200	138
K06398	170
K00615	22355
K01945	28052
K00613	2988
K06399	2
K00610	2232
K01941	1
K00611	19410
K01940	22288
K21512	2
K06390	47
K00609	32606
K01939	30130
K16179	20
K01938	140585
K01937	34132
K00605	271
K06396	2
K00606	105
K16176	995
K06395	1026
K19689	141
K19693	325
K19694	521
K00603	216
K01935	8
K00604	2
K01933	11698
K00602	22265
K00600	51951
K12340	1030
K13670	40
K01200	3763
K01684	42
K01685	242
K01201	12
K00351	369
K01681	17258
K01208	5517
K01209	3503
K01206	691
K01207	1118
K02536	312
K01689	81925
K01205	6
K01686	3975
K00355	105
K01687	30200
K11021	2
K09163	2
K16710	153
K13688	1
K14534	258
K15866	1114
K02520	4667
K02529	3193
K02528	50
K23005	64
K00348	989
K01679	87
K02527	1
K23004	2
K01677	4177
K00346	1009
K03856	1120
K00347	4
K01678	1699
K01676	1613
K13652	2
K14982	2
K06919	4
K14987	4
K01222	85
K00375	33
K01223	674
K02551	22
K03408	108
K03407	1004
K03406	1549
K01227	770
K02556	4
K01224	369
K03402	206
K13663	62
K11004	16
K11005	3
K06901	48
K01695	386
K22130	368
K01696	165
K01212	43
K01693	98
K01692	666
K06904	2
K06907	4
K21285	9589
K01218	168
K22135	16
K01697	3444
K04720	6
K01698	3003
K01214	32
K10120	553
K08281	6
K08282	13
K12308	171
K10125	2
K00793	2
K01640	12
K00794	2883
K22580	2
K02970	7290
K00791	619
K00790	107
K12309	108
K01649	4043
K01646	22
K01647	25332
K00313	22
K01644	3
K00797	5
K00798	53
K22107	2
K00795	13
K22106	2
K00796	205
K01643	1180
K01639	3619
K12316	27
K13643	525
K02961	44861
K03816	676
K02968	2118
K23449	12
K09117	978
K02967	76523
K00788	253
K01635	772
K00789	32811
K02965	53366
K02963	6732
K09118	10
K00784	2202
K09157	20198
K02519	44341
K09155	2
K02994	52346
K01662	117
K00331	86
K02992	68370
K02990	9838
K02518	116
K01666	1123
K00335	1212
K01667	5520
K00336	151
K02996	30754
K11441	84
K09145	147
K08299	15
K03839	3153
K08297	317
K13626	2
K10117	12971
K10118	211
K10119	221
K10112	13328
K11443	2
K01652	1514
K02982	138298
K01657	51
K08289	44
K02988	27740
K01658	2
K09137	40
K02503	2331
K00324	71
K02986	60609
K02502	266
K03833	620
K01653	1323
K23424	1002
K03832	345
K02501	296
K02500	1634
K03831	257
K18967	138
K18968	5
K16787	22
K16786	162
K16785	18
K13278	133
K13274	5
K03470	1077
K14127	834
K16305	10
K06978	192
K03466	101
K01286	8
K03465	26
K02133	83344
K06979	1
K01284	145
K02132	271
K13280	95
K15460	6
K06972	2550
K06971	1
K03469	14
K18979	2014
K17641	434
K13283	274
K16793	1688
K20816	1416
K01281	4
K16318	37
K14138	23483
K19824	555729
K07814	779
K01277	27
K06967	186
K07813	68
K03455	224
K01278	2378
K02124	2
K06969	1403
K02123	1211
K07816	123
K02122	85
K01273	28
K02121	166
K02120	11
K01271	5048
K13290	72
K13292	41
K06960	5
K11072	3323
K02160	94
K03491	13
K18940	6400
K15437	1275
K06999	64
K03483	578
K06994	2
K23059	2569
K06993	163
K06997	3889
K17624	753
K18959	2
K11085	829
K06990	1010
K03481	71
K18954	725
K19802	19
K01299	154
K03478	2
K01297	51
K03476	94
K01295	82
K15894	616
K18929	705
K04755	78
K06933	2
K02574	1
K01243	270
K04758	4489
K04759	40749
K05606	1102
K00394	255
K06939	4
K00392	2
K03429	2
K11060	22
K04751	92
K03427	436
K03424	3
K05601	1262
K11065	261
K11062	188
K00390	2323
K11069	519
K06923	403
K02564	3967
K06922	2435
K02563	370
K00384	465
K06925	7298
K06924	1
K00385	3271
K03893	453
K01232	287
K00382	547
K03892	17
K06927	5
K06926	25
K00383	20
K06928	2
K01239	2439
K11071	4
K03415	2026
K06921	11
K02567	1
K01235	354
K03413	280
K10188	16506
K15873	70
K15871	7
K18908	1997
K01270	2078
K12368	79
K10189	112
K15876	2
K12369	4
K02114	49
K02598	36
K01267	54242
K22162	26
K02113	54
K02112	5362
K06958	977
K02111	67212
K01265	1221
K03442	6
K02110	187
K01262	163
K06959	757
K07806	18
K01261	15
K18909	4
K04770	1
K10190	239
K06950	64
K04771	9637
K04772	68
K02119	12
K02118	1539
K04773	69
K02117	10595
K06951	248
K01268	51
K01269	144
K02115	215
K18914	4
K10192	7615
K10193	57
K12373	2092
K11041	5160
K18910	21
K02587	9
K02103	17
K01255	362
K04767	4
K01256	4
K02585	1126
K03431	5200
K04769	225
K06946	106
K06949	10
K03430	2
K02109	479
K03439	157
K02108	4
K04761	188
K03438	747
K06941	117
K04763	2856
K02106	2
K03437	488
K03436	13
K01258	4147
K02588	5
K06942	362
K08640	103
K07792	87
K19776	8
K02099	666
K19781	496
K19783	2
K09963	8
K07783	2
K22944	19
K20765	6
K19309	2517
K09960	15
K10974	2
K19302	2
K19303	4
K10977	4
K19788	22333
K18457	16
K19789	2
K19793	2
K09952	371
K05594	30
K21621	168
K05595	705
K07775	2470
K09951	2
K06446	905
K07776	119
K07778	659
K22927	30
K18429	99
K09992	2
K10947	2
K18430	2
K07322	19
K07321	1687
K08652	380
K08659	889
K20742	2
K17103	13
K18431	17
K17108	4
K07319	9
K14084	96
K07795	163
K08641	42
K14082	1947
K09973	16
K14080	24
K07317	397
K21600	336
K07316	10
K14048	480
K22906	5
K03390	2
K18887	1476
K18888	1157
K18889	370
K19736	2
K06416	28
K03389	881
K02058	536
K03388	797
K07749	16
K02055	12
K03385	42
K18890	2214
K18891	6
K02052	624
K07742	2
K06410	13
K06894	8
K06413	14
K06412	2000
K22900	17
K05567	178
K06898	98
K14059	998
K14055	142
K02051	1038
K02050	822
K18896	58
K18898	2
K06406	25
K06889	1041
K06405	1
K07736	4
K01198	2210
K07738	44
K02045	370
K01196	74
K02044	79
K06409	40
K02042	19
K01195	8229
K06882	1358
K06881	24
K06400	541
K14060	4
K14061	19
K06404	67
K02049	379
K15358	22
K15353	2
K05592	228
K05593	35
K02084	2
K02082	288
K02081	92
K19710	141
K16209	2
K05108	71
K10907	51
K02078	1103
K16692	543
K05587	102
K16214	2
K16698	2
K16213	15
K16212	4095
K16211	1
K16695	259
K16210	17
K02073	5377
K02072	33
K02065	16
K10914	2
K03394	42
K18881	18
K17550	19
K15372	154
K08600	458
K06421	450
K07755	8
K08602	289
K07391	7
K10562	136
K02939	4799
K01609	3
K00759	1418
K07397	1512
K01607	2
K11410	161
K20361	2
K01604	3540
K00757	202
K02935	34099
K08234	165
K02933	36921
K00756	59
K02931	120452
K01601	4
K00754	4
K09569	9
K00752	615
K23876	1644
K07386	312
K02926	15738
K13606	28
K20374	2
K06046	173
K06045	4
K10540	28152
K03809	1296
K01628	10052
K02959	9952
K08264	210
K01629	569
K19355	9
K10546	8389
K10548	1778
K10541	142
K10542	4819
K10543	496
K02950	64867
K19360	2
K21672	8
K01626	2769
K20344	3
K06079	41
K08258	193
K01627	10
K02956	9259
K01624	75051
K01625	9404
K02954	168
K01623	106
K03800	253
K02952	72011
K00773	512
K01620	2
K01621	31249
K06075	2050
K01619	339
K06077	6
K02948	28851
K06076	185
K10559	10725
K12736	132
K10555	314
K00760	1890
K00761	35753
K18045	730
K01615	395
K02946	20960
K02945	51850
K01613	74
K00766	682
K00767	6786
K17195	28
K00764	1920
K00765	679
K00762	9054
K21688	9
K01610	158564
K00763	13338
K06020	6
K08681	6
K19333	93
K19334	138
K18009	186
K18012	20
K08676	196
K00713	392
K06012	11
K06015	9
K06016	30
K06019	2
K08679	20
K00705	5489
K18013	80
K18014	44
K10536	4
K10537	4
K19347	16
K19354	13
K00702	1353
K00703	18631
K06001	2854
K09997	12
K00700	3470
K22994	441
K07335	7545
K22516	23
K02919	1890
K06041	4
K02916	4550
K18471	318
K18474	78
K02914	76
K02913	2301
K02911	1195
K21636	12
K16291	2
K07369	126
K02909	8585
K02907	2217
K02906	19762
K02904	10165
K08693	220
K18475	4
K06024	1605
K02902	1611
K06023	3343
K00721	1092
K15974	77
K13797	89572
K14647	53
K14645	54
K02653	1
K01322	448
K02652	186
K02650	90
K03980	2
K02656	2127
